lang,id,author_id,edit_history_tweet_ids,created_at,text
en,1583029340408668165,385347340,['1583029340408668165'],2022-10-20T09:36:20.000Z,Simon Parks has pleaded guilty to the murder of Mari O'Flynn whose body was found at her home in Newport. He will be sentenced next month https://t.co/xRv4a9I9HB
en,1582012436559040512,385347340,['1582012436559040512'],2022-10-17T14:15:31.000Z,"RT @CrimeLineLaw: Lucy Crowther to be a Circuit Judge - The Lord Chief Justice has deployed her to the Wales Circuit, based at Cardiff Crow…"
en,1580924615257649153,385347340,['1580924615257649153'],2022-10-14T14:12:55.000Z,"Tyrrell Webbe was found with almost £500 worth of cocaine claimed he was taking drugs to a friend's party but texts on his phone revealed he had been dealing. He was caught by police after he was seen throwing a package into a garden
https://t.co/MO0nnxa1K2"
en,1580877876819214337,385347340,['1580877876819214337'],2022-10-14T11:07:11.000Z,"@cobaines Hi Dan, can you follow me back so I can send you a DM? Cheers"
en,1580861137616523265,385347340,['1580861137616523265'],2022-10-14T10:00:40.000Z,Ethan Owen has a long history of sexual offending. He also send threatening sexual messages to a mother while pretending to be a school attendance officer and threatened to reveal facts about his probation officer's personal life https://t.co/uPuY2PB2OW
en,1580588742850801664,385347340,['1580588742850801664'],2022-10-13T15:58:16.000Z,"""Our package of extra investment for barristers and solicitors, and measures such as unlimited sitting days and increasing magistrates’ sentencing powers, will help us to recover from the pandemic-induced backlog.”"
en,1580588716024041472,385347340,['1580588716024041472'],2022-10-13T15:58:10.000Z,"A Ministry of Justice spokesperson said “Now that barristers have agreed to return to work we can work together to drive down the backlog and ensure victims see justice served sooner."""
en,1580587590872244226,385347340,['1580587590872244226'],2022-10-13T15:53:42.000Z,"“If ministers cannot find the relatively small amount of money needed to help safeguard the future of the profession now, the justice system – and society – will pay the price for years to come.”"
en,1580587454851350528,385347340,['1580587454851350528'],2022-10-13T15:53:09.000Z,"“Criminal defence solicitors are needed more than ever to help tackle these unprecedented backlogs in our criminal courts and yet government is still refusing to give them parity with barristers, on a 15% criminal legal aid rate rise, which would be the first increase in 25years"""
en,1580587306117128193,385347340,['1580587306117128193'],2022-10-13T15:52:34.000Z,"“It is a disgrace that victims, witnesses and defendants are having to wait so long for justice. There is a grave risk that trust in our criminal justice system will continue to erode if the government doesn’t step up to address the endemic problems."""
en,1580587201930285056,385347340,['1580587201930285056'],2022-10-13T15:52:09.000Z,"Law Society of England and Wales president Lubna Shuja said “The latest figures – which show an increase in the number of outstanding Crown Court cases and a concerning rise in the magistrates’ courts backlog – further demonstrate the dire state of our crisis-hit justice system."""
en,1580586656305848321,385347340,['1580586656305848321'],2022-10-13T15:49:59.000Z,"Latest figures from HMCTS reveals there are 61,212 outstanding Crown court cases in Wales and England, rising from 60,351 in July. The number of outstanding magistrates' court cases stands at 360,611, up from 352,193 in July"
en,1580486110459097096,385347340,['1580486110459097096'],2022-10-13T09:10:27.000Z,"RT @kirkkorner: The Crown Court backlog reached 61,212 in August, latest HMCTS figures show. 

The number of cases in the queue has risen b…"
en,1580235822343032832,385347340,['1580235822343032832'],2022-10-12T16:35:54.000Z,"Leigh Webb put his hands around his partner's throat and strangled her before kicking her. He told her ""I hope the baby dies, I'll rip it out with a coat hanger"" https://t.co/dh0F7ywR8u"
en,1580217492051349504,385347340,['1580217492051349504'],2022-10-12T15:23:03.000Z,"John Richards, Daniel O'Hara and Richard Watkins were involved in the conspiracy which involved 10.5kg of cocaine transported into south Wales. Police intercepted a drop off and discovered the scale of the operation after examining Enchrochat phones https://t.co/nRFpQoodSK"
en,1580133871105949696,385347340,['1580133871105949696'],2022-10-12T09:50:46.000Z,"RT @amy_e_walker: The latest from the trial of Lucy Letby: 
Nurse ‘poisoned’ premature baby boy with food laced with insulin, trial hears h…"
en,1579850424798281728,385347340,['1579850424798281728'],2022-10-11T15:04:28.000Z,"Tristan Levene was visited by police after they executed a warrant at his home in Barry. A search carried out in the defendant's bedroom resulted in police finding rocks, cannabis bud, scales, phones, diazepam tablets, and a small amount of cash https://t.co/2V6CsEI5zq"
en,1579842799209705472,385347340,['1579842799209705472'],2022-10-11T14:34:10.000Z,"Adam Lock assaulted an intoxicated man after he had been refused entry to the Owain Glyndwr pub in Cardiff. After the man had been knocked unconscious by the single blow, he said ""That's what you get for coming at me"" https://t.co/MXPgG0M7HD"
en,1579809614950191104,385347340,['1579809614950191104'],2022-10-11T12:22:18.000Z,"Mahib Ahmadi had to postpone his wedding after he was caught with cocaine, LSD and MDMA. He was supposed to tie the knot with his fiancé last year but ended up on remand after being arrested https://t.co/fvDwa6mUOx"
en,1579396930794557440,385347340,['1579396930794557440'],2022-10-10T09:02:26.000Z,"RT @TheCriminalBar: The result of the ballot on the offer made by Government is: 
 
""Do you accept the offer from the MOJ as set out in the…"
en,1579201987610284032,385347340,['1579201987610284032'],2022-10-09T20:07:48.000Z,"RT @BarristerSecret: For those who have asked, after careful consideration, I have decided to vote NO to the government's offer to the Crim…"
en,1578444879138803712,385347340,['1578444879138803712'],2022-10-07T17:59:19.000Z,Ian Wakeham armed himself with a kitchen knife and stabbed a man who interrupted an argument with his girlfriend and told him they had been having an affair https://t.co/rM3XkDIy7e
en,1578443361610248193,385347340,['1578443361610248193'],2022-10-07T17:53:18.000Z,"Conor Dawson grabbed shards of broken glass during a fight with another man after he ""got the better of him"" and cut him in the stomach and on his legs https://t.co/USIf3php2b"
en,1578442114941480960,385347340,['1578442114941480960'],2022-10-07T17:48:20.000Z,"This footage released by the Crown Prosecution Service shows Mark Townsend banging on the door of a neighbour's house with the butt of an air rifle. To all intent and purposes, the weapon appeared real and the victim thought she would be shot https://t.co/nh8OE1L0Xq"
en,1578348660793876481,385347340,['1578348660793876481'],2022-10-07T11:36:59.000Z,"RT @WalesOnline: Council spent £1m on agency social workers the year of Logan Mwangi's death
https://t.co/DYfzujnp2P https://t.co/ZXcKskCzAQ"
en,1577990796556509184,385347340,['1577990796556509184'],2022-10-06T11:54:58.000Z,"David Riseborough was made subject to sexual offender notification requirements and had sign on at a police station every week. When asked why he failed to attend, he said it was ""a bit difficult"" getting from Barry to Cardiff https://t.co/C1EJm4L18q"
en,1577989944685068295,385347340,['1577989944685068295'],2022-10-06T11:51:35.000Z,"Mark Townsend left his neighbour ""absolutely petrified"" when he banged her door while in possession of the imitation firearm. She said Townsend was making her life a ""living hell"" and said he had a ""weird obsession with her"" https://t.co/TZfu44RwFZ"
en,1577753762671824904,385347340,['1577753762671824904'],2022-10-05T20:13:04.000Z,"RT @ConorGogarty: South Wales Police Inspector Dean Gittoes has been found guilty of assaulting a vulnerable 16-year-old

The boy was polit…"
en,1577621151764955139,385347340,['1577621151764955139'],2022-10-05T11:26:08.000Z,Mark Trebilcock was pulled over by police in Cardiff and found in possession of a deodorant can containing cannabis. The court heard he was the club manager at Splott Albion FC and wished to provide a distraction from crime for youths in the area https://t.co/vDigONRzNo
en,1577284947320410114,385347340,['1577284947320410114'],2022-10-04T13:10:10.000Z,Craig Chappell is believed to have taken his own life after being accused of making indecent images of children. His body was found in his car the day after his family reported him missing  https://t.co/t5iQcbTVC2
en,1577252213872656385,385347340,['1577252213872656385'],2022-10-04T11:00:06.000Z,Usman Khan was found in possession of cocaine by police on two occasions. He claimed the drugs were for his own personal use but messages on his phone revealed he had been involved in dealing https://t.co/dNs2CVyFrq
en,1577209555838066688,385347340,['1577209555838066688'],2022-10-04T08:10:35.000Z,RT @EvansTheCrime: The trial of a South Wales Police inspector accused of assaulting a 16-year-old boy who was filming outside Merthyr poli…
en,1576947537717563393,385347340,['1576947537717563393'],2022-10-03T14:49:25.000Z,"Michael Ellaway broke into someone's home and stole their company car which was never recovered. A judge said his behaviour had ""the hallmarks of bullying"" https://t.co/TdANgYQv6U"
en,1576922716481150976,385347340,['1576922716481150976'],2022-10-03T13:10:48.000Z,Robert Warren failed to come to term with the end of his marriage and left a litany of threatening messages to his ex wife during he threatened to kill her and himself. He sent a total of 270 voice messages during a three month period https://t.co/oIzP9E2y5R
en,1576868227396694016,385347340,['1576868227396694016'],2022-10-03T09:34:16.000Z,"Mark Donoghue made contact with the 15-year-old victim on Grindr and exploited him for sex despite being told his age. A judge said he treated the teenager as ""little more than a piece of meat"" https://t.co/1Ip1vyAsFC"
en,1576864890152632321,385347340,['1576864890152632321'],2022-10-03T09:21:01.000Z,RT @EvansTheCrime: ICYMI: If you want to a video of a wannabe gangster from the ghettos of *checks notes* Barry making an arse of himself i…
en,1576823548639084544,385347340,['1576823548639084544'],2022-10-03T06:36:44.000Z,"RT @WalesOnline: Chancellor Kwasi Kwarteng has scrapped the plan to abolish the 45p tax rate
https://t.co/vPLcPjZ8Tt https://t.co/z5suDMi15d"
en,1575770938540318722,385347340,['1575770938540318722'],2022-09-30T08:54:02.000Z,"Liam Caddick-Cairns and his girlfriend Tiffany Taylor were caught red handed by police and were found in possession of cocaine and cannabis. Taylor served as a driver for a boyfriend but ""turned a blind eye"" to his drug dealing https://t.co/oR1VZTx2TA"
en,1575770211646869504,385347340,['1575770211646869504'],2022-09-30T08:51:09.000Z,David Vanos was under the influence of cocaine and had no recollection of biting the bouncer's hand at the Boom Battle Bar in Cardiff's Old Brewery Quarter https://t.co/Ulp21F6DrI
en,1575533063752269825,385347340,['1575533063752269825'],2022-09-29T17:08:49.000Z,"Bizarre case this. Callum Burn-Keen-Friel accessed his late uncle's cryptocurrency account containing £17,000 worth of Bitcoin and Chainlink which he used to buy Nintendos, an iPhone and computers https://t.co/TuS6eE3r8f"
en,1575443884523520002,385347340,['1575443884523520002'],2022-09-29T11:14:27.000Z,"In a further blow to the UK Government, @TheLawSociety has said they will advise members ""not to undertake"" criminal defence work if the 15% increase for barristers is not extended to solicitors, who have been offered a 9% rate increase 3/3"
en,1575442703579430912,385347340,['1575442703579430912'],2022-09-29T11:09:45.000Z,"The @MoJGovUK press release states the package includes £54m further investment in the criminal bar and solicitors and 15 percent fee increase, but some barristers say the headline figure ""means nothing"" 2/3"
en,1575441525957431296,385347340,['1575441525957431296'],2022-09-29T11:05:04.000Z,"Despite the MoJ's press release stating @BrandonLewis ""agrees deal"" with the @TheCriminalBar, no deal has been reached. Barristers will be balloted on suspending action but many are unhappy with the MOJ announcement being made before details were discussed with CBA members 1/3"
en,1575422648829579264,385347340,['1575422648829579264'],2022-09-29T09:50:04.000Z,"RT @TheCriminalBar: The members of the CBA will be balloted on suspending action on the basis of an interim package. 

The details are bein…"
en,1575420009031110656,385347340,['1575420009031110656'],2022-09-29T09:39:34.000Z,"RT @BBCDanielS: ""The Criminal Bar Association will re-ballot members following meetings with the Lord Chancellor and his decision to offer…"
en,1575173230595231744,385347340,['1575173230595231744'],2022-09-28T17:18:58.000Z,"Describing the impact of the assaults by Rhys Thompson, the victim said: """"It has been a lot to take on. My mind is non stop and I keep thinking 'Why has he done this to me?'. I blame myself for what I did."" https://t.co/BO92SS53n5"
