edit_history_tweet_ids,author_id,lang,text,id,created_at
['1591136591397163008'],1523281617535393792,en,"Saropa-Saropa is a laser beam technique, it can dissolve knots in physical or karmic body. Hunkara with Haleem initiation is mandatory for Saropa.
#Lamafera #Shalvikmantra #Hunkarawithhaleem #Saropa #Healings #Reiki #Tarotcardreading #Angeldivination #Energyhealing #saropa https://t.co/UucT1he5bj",1591136591397163008,2022-11-11T18:31:39.000Z
['1590765570554986496'],1523281617535393792,en,"Hunkara with haleem part-3- Sadhya
Dr. S.k. Saini developed this healing modality. 
This technique is specially for brain boosting (Chanakya buddhi).
In this technique we use 3 symbols .
Each symbol have vibration of thousands of mantras.
#Students #targets #Politics #adminis https://t.co/nYoj8js80C",1590765570554986496,2022-11-10T17:57:21.000Z
['1590425880656220160'],1523281617535393792,en,"Hunkara with haleem part-2
Dr. S.k. Saini developed this healing modality. 
This technique is specially for brain boosting (Chanakya buddhi).
In this technique we use 3 symbols .
Each symbol have vibration of thousands of mantras.
“ Hunkara with Haleem ” https://t.co/J45fbu92IX",1590425880656220160,2022-11-09T19:27:33.000Z
['1590024941453611008'],1523281617535393792,en,"Hunkara with haleem part-1
Dr. S.k. Saini developed this healing modality. 
This technique is specially for brain boosting (Chanakya buddhi).
In this technique we use 3 symbols .
Each symbol have vibration of thousands of mantras.
 Hunkara with Haleem is a simple, easy technique https://t.co/nTpuPMpsnM",1590024941453611008,2022-11-08T16:54:21.000Z
['1589660472013623296'],1523281617535393792,en,"Lama-fera healing part-21
Lama-fera grandmaster level Spiritual journey, In this process we use dragon toran for initiates each chakra with the frequency of mantras, so that frequency of chakras and aura vibrates on higher level  and connects you with higher dimensions. https://t.co/hBmoFhhSSw",1589660472013623296,2022-11-07T16:46:05.000Z
['1589313277414506496'],1523281617535393792,en,"Lama-fera healing part-20
Lama-fera grand master level-Elevation and recycling process 
In this process you can regenerate and reactivate your dead cells also you can heal chronic diseases and pains. #healthy #beauty #lamaferahealing #lamaferauniversal https://t.co/ZqpvmYYhSj",1589313277414506496,2022-11-06T17:46:28.000Z
['1588950753502449664'],1523281617535393792,en,"Lama-fera part-19
Lama fera grand master level-Migration process-in this process we can migrate stucked issues weather in physical body or in karmic level. 
 #mrugalsanjivani #lamaferahealing #lamaferauniversal #lamafera #vedicculture #maadevyaneenanda #dimplelaumas  #Healing https://t.co/yYdP0r6qaf",1588950753502449664,2022-11-05T17:45:55.000Z
['1588551730484383745'],1523281617535393792,en,"Lama-fera healing part-18 Lama-fera grand master level- version 4- Abstract process In this process you can remove all blocked energies from your life which may be affected your health, bussiness, carrier,  growth,relationship, finance,securities and more,with a specific process. https://t.co/eBu783X11D",1588551730484383745,2022-11-04T15:20:21.000Z
['1588214492949016576'],1523281617535393792,en,"Lama-fera healing part-17
Lama-fera grand master level-Segment process. In this process you can remove all blocked energies in chakras and activate  the positivity in chakras.
 #mrugalsanjivani #lamaferahealing #lamaferauniversal #vedicculture #maadevyaneenanda #dimplelaumas https://t.co/dmhbpO4pSk",1588214492949016576,2022-11-03T17:00:17.000Z
['1587892219746258945'],1523281617535393792,en,"Lama fera healing part-16
Lama-fera grand master level - divided into 2 parts- version 3 and version 4. 
Version 3 divided into 2 parts - Toran vidhi and Mrugal sanjivani. #mrugalsanjivani #toran #dimplelaumas #lamaferahealing #lamaferauniversal #chronic #karmic https://t.co/PPehq4XEEX",1587892219746258945,2022-11-02T19:39:41.000Z
['1587135807013281792'],1523281617535393792,en,"Lama-fera series part -15
Lama-fera healing tools- Dragon toran can remove stucked dence and negative energies from person and space. You can release black magic effects, negative entities and vastu dosas from your house,  shop, factory and offices, you can attracts good fortune. https://t.co/MpNmi5Qjxf",1587135807013281792,2022-10-31T17:33:58.000Z
['1586412872103362560'],1523281617535393792,tl,Lama-fera series part -14 Lama-fera healing tools- Mandala- #boddhisatva  #lamaferahealing #lamaferauniversal #lamafera #lama #vedicculture #maadevyaneenanda #dimplelaumas  #energise  #frequency  #mandalas  #vaastudosh  #shriyantra  #mahamrtunjay  #yantra  #healingcrystals  #grid https://t.co/NcOfFHpGES,1586412872103362560,2022-10-29T17:41:17.000Z
['1586072454879121408'],1523281617535393792,en,"Lama-fera series part -13 Lama fera vastu healing will remove negative energies from space. You can release black magic effects,negative entities and vastu dosas from your house,shop,factory &amp; office &amp; make positive energy so you can attracts health, wealth and opportunities. https://t.co/oSkXK4szTA",1586072454879121408,2022-10-28T19:08:35.000Z
['1585649294710710273'],1523281617535393792,en,"Lama-fera series part -12
Lama-fera healing tools- Toran-
This small toran energised water for removing dence and negative energies.  Energies and activate all 7 chakras. Energies healing tools , crystals, space, aura etc..

#toran #lamaferahealing #lamaferauniversal #maadevyani https://t.co/oOFTXdBNmU",1585649294710710273,2022-10-27T15:07:06.000Z
['1585267962805555202'],1523281617535393792,en,"Lama-fera series part -11
Lama-fera healing tools- Earth sticks- 
These earth sticks are placed under joints of shoulders and knees to  protect healing energies from grounding .
 #lamaferahealing #lamaferauniversal #lamafera  #lama #vediccultur #maadevyaneenanda #WhatsApp https://t.co/oXccmhkh9e",1585267962805555202,2022-10-26T13:51:49.000Z
['1584874929287483392'],1523281617535393792,en,"Lama-fera healing part-10

Lama-fera healing tools- Lama-fera  yantra specially energised  with Antim mantra, this yantra  create a  protection shield around patient's and healer's aura so they can protected from negativity during healing, and give blessings of Guru in healing. https://t.co/aoJo0hnEHb",1584874929287483392,2022-10-25T11:50:03.000Z
['1583502478938890240'],1523281617535393792,en,"Lama-fera is fastest healing  tech
https://t.co/nsApt4UsL8",1583502478938890240,2022-10-21T16:56:25.000Z
['1576637597987708929'],1523281617535393792,hi,"Maa Mahagauri 
#Navratri #MaaDurga #garba #dandia #shakti https://t.co/SRQ7uHg3Su",1576637597987708929,2022-10-02T18:17:50.000Z
['1576299934550175744'],1523281617535393792,hi,Maa Kaalratri https://t.co/SRmetmLQvt,1576299934550175744,2022-10-01T19:56:05.000Z
['1575891298367590400'],1523281617535393792,en,"Maa Katyayani 
On the sixth day of Navratri Maa Katyayani is worshipped. 
Maa Katyayani is believed to wash away the sins of the worshippers.
#navratri2022 
#maadurga 
#shakti 
#devi 
#garba 
#dandiya 

https://t.co/eGpuwz3eVe https://t.co/k4dRMDat73",1575891298367590400,2022-09-30T16:52:18.000Z
['1575546225079635969'],1523281617535393792,qme,#navratri2022 #maadurga #Devi #garba2022 #dandia https://t.co/qM94RUmRaR,1575546225079635969,2022-09-29T18:01:06.000Z
['1575175019910438914'],1523281617535393792,qme,#Navaratri2022 #maakushmanda #maadurga #Dandiya #maadurga https://t.co/eHBBrjIG5h,1575175019910438914,2022-09-28T17:26:04.000Z
['1564607224227725321'],1523281617535393792,zxx,"https://t.co/LfRyxuwiMF

https://t.co/yq5M0TPCr9 https://t.co/u1h4d5EGUx",1564607224227725321,2022-08-30T13:33:25.000Z
['1560484071389609984'],1523281617535393792,hi,"Hare Krishna, Radhe Radhe... https://t.co/dUqwypPLBZ",1560484071389609984,2022-08-19T04:29:29.000Z
['1549981447968002048'],1523281617535393792,en,Healers also suffer.. https://t.co/4vU13zltsm,1549981447968002048,2022-07-21T04:55:49.000Z
['1546351625186316289'],1523281617535393792,hi,"Har Har Mahadev 
Jai Shri Mahaakaal https://t.co/cQ3HyehxpP",1546351625186316289,2022-07-11T04:32:11.000Z
['1546003990390796288'],1523281617535393792,hi,"#चातुर्मास
10 जुलाई से शुरू हो रहा है चातुर्मास, ये 4 महीने तक चलता है, चातुर्मास के दौरान शुभ कार्य वर्जित होते हैं लेकिन धार्मिक कार्य जारी रहते हैं। 
🙏️ Maa Devyani Nanda 
#chaturmas 
#vishnu 
#auspicious 
#fasting 
#meditationchallenge 

 https://t.co/B2cpiudhWL https://t.co/IsHtBecjOB",1546003990390796288,2022-07-10T05:30:49.000Z
['1544179554033569794'],1523281617535393792,hi,"धन की कमी मंगलवार को पीपल के 21 पत्ते लें,पानी से साफ करें,चंदन-गंगाजल से‘जय श्री राम’लिखें, इन पत्तों को हनुमान जी के मंदिर में चढ़ाएं,अपनी मनोकामना हनुमान जी से कहें,ऐसा करने सेआर्थिक संकट से मुक्ति मिल जाती है, व्यापार में लाभ होता है।
https://t.co/B2cpiuuTll
Maa Devyani Nanda https://t.co/doEpmgyigu",1544179554033569794,2022-07-05T04:41:09.000Z
['1543888124283129858'],1523281617535393792,zxx,https://t.co/eA6XPYYdTe,1543888124283129858,2022-07-04T09:23:07.000Z
['1543887964824113152'],1523281617535393792,zxx,https://t.co/8c8r9T52bs,1543887964824113152,2022-07-04T09:22:29.000Z
['1543460672998088710'],1523281617535393792,zxx,https://t.co/LKwaFZOimn,1543460672998088710,2022-07-03T05:04:35.000Z
['1542734459707031555'],1523281617535393792,qme,"#MaaLaxmi 
#FridayVibes https://t.co/sak7hcAH7m",1542734459707031555,2022-07-01T04:58:52.000Z
['1542360598612127746'],1523281617535393792,en,"#Vishnu 
#shrisukatam 
#thursdayvibes 
#www.thevedicculture.com 
#maadevyaninanda 
#surat https://t.co/XcvG3yDixc",1542360598612127746,2022-06-30T04:13:17.000Z
['1542003287477686272'],1523281617535393792,ro,"#lordganpati

Vedic Culture academy 
https://t.co/LJfXGQc8gK
🙏 Maa Devyani Nanda https://t.co/fYzTwZr8Hq",1542003287477686272,2022-06-29T04:33:27.000Z
['1541646958120640512'],1523281617535393792,hi,"🙏🏻🕉️ #JaiShreeRam, #jaihanuman 

Today is Tuesday,  day of Hanumanji-Jai shri Ram, Jai Hanuman.

🙏🏻 Maa Devyani Nanda- https://t.co/B2cpiuuTll https://t.co/VO5W2a1KL5",1541646958120640512,2022-06-28T04:57:31.000Z
['1541297259442225152'],1523281617535393792,sv,Har har Mahadev https://t.co/H0gCUgSvq1,1541297259442225152,2022-06-27T05:47:57.000Z
['1540925232172544000'],1523281617535393792,hi,"Truth for good living...Jai shri Krishna, Radhe Radhe... https://t.co/JXait2Chzy",1540925232172544000,2022-06-26T05:09:39.000Z
['1540189298334412800'],1523281617535393792,en,Facts of life.. https://t.co/pW6tg55W1H,1540189298334412800,2022-06-24T04:25:18.000Z
['1532661052172820480'],1523281617535393792,en,"Animals are innocent,they need love and mercy from us.. https://t.co/Dwqr0Mgb6m",1532661052172820480,2022-06-03T09:50:44.000Z
['1531481877705523201'],1523281617535393792,zxx,https://t.co/LGQdhwkr9Z,1531481877705523201,2022-05-31T03:45:07.000Z
['1531475060996952066'],1523281617535393792,zxx,https://t.co/EKAgCcysxn,1531475060996952066,2022-05-31T03:18:02.000Z
['1531137365938511872'],1523281617535393792,hi,"आज 30 मई को सोमवती अमावस्या मनाई जा रही है, आज के दिन शनि जयंती भी है।ज्येष्ठ अमावस्या की तिथि इसके लिए उचित होती है. जब अमावस्या सोमवार को आए तो व्यक्ति को पितृ के साथ साथ महादेव का आशीष भी मिलता है।
हरिओम नमः शिवाय 🕉️🙏🏻
माँ देवयानी नंदा https://t.co/BzHLFjj49W",1531137365938511872,2022-05-30T04:56:09.000Z
['1531120549870522374'],1523281617535393792,qme,#Angels #Numbers https://t.co/zU8LsDQpBu,1531120549870522374,2022-05-30T03:49:20.000Z
['1530773735673831424'],1523281617535393792,zxx,https://t.co/EwYgwC85nl,1530773735673831424,2022-05-29T04:51:13.000Z
['1530756188828098560'],1523281617535393792,en,Increase your vibrational frequency to stay away from negativity through medication 🙏 https://t.co/n7jTXlZ3K7,1530756188828098560,2022-05-29T03:41:30.000Z
['1530380993764286464'],1523281617535393792,hi,"प्रसन्न रहो और यह भी याद रखो कि मन प्रकाश के पुंज जैसे है। मन पदार्थ नहीं है, मन ऊर्जा है, तुम भी ऊर्जा ही हो।",1530380993764286464,2022-05-28T02:50:36.000Z
['1530380144166445058'],1523281617535393792,en,"https://t.co/uHSzTzwN4M
Shalvik mantra rahasaya One to one Traditional Initiation.
#Perfect healing process to remove all kind of negative or planetary effects .
#Healing 7990636138 , 9978478523
https://t.co/83jioQfAiF 

https://t.co/K8b1qcMufW
 
https://t.co/aLlnsj0czC https://t.co/icFbqf2yJh",1530380144166445058,2022-05-28T02:47:14.000Z
['1530378241424633856'],1523281617535393792,en,Focus your targets https://t.co/RplAWAiWMh,1530378241424633856,2022-05-28T02:39:40.000Z
['1529657439217410052'],1523281617535393792,in,Angel's https://t.co/HPkWvPewt4,1529657439217410052,2022-05-26T02:55:27.000Z
['1527145752178216960'],1523281617535393792,zxx,https://t.co/qP19qjWACL https://t.co/VFqfVZjqR9,1527145752178216960,2022-05-19T04:34:54.000Z
['1526764061878149120'],1523281617535393792,en,"To manifest your wish come true write this number on a bay leaf then write your wish in a single word, keep this leaf under your pillow,see this and repeat your wish every day morning when wake up till your wish manifest. https://t.co/jTjp8HCsWE",1526764061878149120,2022-05-18T03:18:12.000Z
['1526625659832791040'],1523281617535393792,en,"Selenite and black tourmaline bunches
 Black tourmaline for protection from negativity and evil eye.Selenite for Purification and  Peace of mind.Clears and purify aura. Increase positivity in house , shop or office.

https://t.co/PxqH7KHqUM",1526625659832791040,2022-05-17T18:08:15.000Z
['1526072257457491968'],1523281617535393792,en,"https://t.co/By7csLEYun
Today meditate on your breathe.",1526072257457491968,2022-05-16T05:29:13.000Z
['1526071249281044480'],1523281617535393792,en,"Wish you all a very auspicious and blessed Buddha Purnima
Buddha purnima is celebrated on the full moon day of the Vaisakh month. 
It is believed that Gautama Buddha obtained Enlightenment on this day. Buddha Purnima is also known as Buddha Jayanti, https://t.co/t9O7UBQZsp",1526071249281044480,2022-05-16T05:25:13.000Z
['1525695456382029824'],1523281617535393792,en,"ALWAYS RESPECT YOURSELF 
Enough to say
'I DESERVE BETTER' https://t.co/3tAafGkD1r",1525695456382029824,2022-05-15T04:31:57.000Z
['1525298224218615812'],1523281617535393792,en,Reiki is powerful and effective healing modality. It connects you with universal life force energy. https://t.co/ZJYo7zdQQd,1525298224218615812,2022-05-14T02:13:29.000Z
['1524962627507482626'],1523281617535393792,en,Daily affirmation for growth in life. Chant everyday morning when you wake up... https://t.co/TPUxTzav9l,1524962627507482626,2022-05-13T03:59:57.000Z
['1524254070940205056'],1523281617535393792,en,"Spread love and blessings, love and blessings will come back in many folds...💜💚💜💚💫 https://t.co/pHzQQhf9Xj",1524254070940205056,2022-05-11T05:04:24.000Z
['1523894231051382784'],1523281617535393792,en,Write 4418 on your left wrist with blue pen for good luck https://t.co/UV2MUUG6gb,1523894231051382784,2022-05-10T05:14:31.000Z
